name,party
OBAMA      ,1
BONNER     ,2
BRIGHT     ,1
ROGERS     ,2
ADERHOLT   ,2
GRIFFITH   ,1
GRIFFITH   ,2
BACHUS     ,2
DAVIS      ,1
YOUNG      ,2
KIRKPATRICK,1
FRANKS     ,2
SHADEGG    ,2
PASTOR     ,1
MITCHELL   ,1
FLAKE      ,2
GRIJALVA   ,1
GIFFORDS   ,1
BERRY      ,1
SNYDER     ,1
BOOZMAN    ,2
ROSS       ,1
THOMPSON   ,1
HERGER     ,2
LUNGREN    ,2
MCCLINTOCK ,2
MATSUI     ,1
WOOLSEY    ,1
MILLER     ,1
PELOSI     ,1
LEE        ,1
TAUSCHER   ,1
GARAMENDI  ,1
MCNERNEY   ,1
SPEIER     ,1
STARK      ,1
ESHOO      ,1
HONDA      ,1
LOFGREN    ,1
FARR       ,1
CARDOZA    ,1
RADANOVI   ,2
COSTA      ,1
NUNES      ,2
MCCARTHY   ,2
CAPPS      ,1
GALLEGLY   ,2
MCKEON     ,2
DREIER     ,2
SHERMAN    ,1
BERMAN     ,1
SCHIFF     ,1
WAXMAN     ,1
BECERRA    ,1
SOLIS      ,1
CHU        ,1
WATSON     ,1
ROYBAL-A   ,1
WATERS     ,1
HARMAN     ,1
RICHARDSON ,1
NAPOLITA   ,1
SANCHEZ    ,1
ROYCE      ,2
LEWIS      ,2
MILLER     ,2
BACA       ,1
CALVERT    ,2
BONO MACK  ,2
ROHRABAC   ,2
SANCHEZ    ,1
CAMPBELL   ,2
ISSA       ,2
BILBRAY    ,2
FILNER     ,1
HUNTER     ,2
DAVIS      ,1
DEGETTE    ,1
POLIS      ,1
SALAZAR    ,1
MARKEY     ,1
LAMBORN    ,2
COFFMAN    ,2
PERLMUTTER ,1
LARSON     ,1
COURTNEY   ,1
DELAURO    ,1
HIMES      ,1
MURPHY     ,1
CASTLE     ,2
MILLER     ,2
BOYD       ,1
BROWN      ,1
CRENSHAW   ,2
BROWN-WAI  ,2
STEARNS    ,2
MICA       ,2
GRAYSON    ,1
BILIRAKI   ,2
YOUNG      ,2
CASTOR     ,1
PUTNAM     ,2
BUCHANAN   ,2
MACK       ,2
POSEY      ,2
ROONEY     ,2
MEEK       ,1
ROS-LEHT   ,2
WEXLER     ,1
DEUTCH     ,1
WASSERMA   ,1
DIAZ-BAL   ,2
KLEIN      ,1
HASTINGS   ,1
KOSMAS     ,1
DIAZ-BALA  ,2
KINGSTON   ,2
BISHOP     ,1
WESTMORE   ,2
JOHNSON    ,1
LEWIS      ,1
PRICE      ,2
LINDER     ,2
MARSHALL   ,1
DEAL       ,2
GRAVES     ,2
BROUN      ,2
GINGREY    ,2
BARROW     ,1
SCOTT      ,1
ABERCROM   ,1
DJOU       ,2
HIRONO     ,1
MINNICK    ,1
SIMPSON    ,2
RUSH       ,1
JACKSON    ,1
LIPINSKI   ,1
GUTIERRE   ,1
QUIGLEY    ,1
ROSKAM     ,2
DAVIS      ,1
BEAN       ,1
SCHAKOWS   ,1
KIRK       ,2
HALVORSON  ,1
COSTELLO   ,1
BIGGERT    ,2
FOSTER     ,1
JOHNSON    ,2
MANZULLO   ,2
HARE       ,1
SCHOCK     ,2
SHIMKUS    ,2
VISCLOSK   ,1
DONNELLY   ,1
SOUDER     ,2
STUTZMAN   ,2
BUYER      ,2
BURTON     ,2
PENCE      ,2
CARSON     ,1
ELLSWORTH  ,1
HILL       ,1
BRALEY     ,1
LOEBSACK   ,1
BOSWELL    ,1
LATHAM     ,2
KING       ,2
MORAN      ,2
JENKINS    ,2
MOORE      ,1
TIAHRT     ,2
WHITFIEL   ,2
GUTHRIE    ,2
YARMUTH    ,1
DAVIS      ,2
ROGERS     ,2
CHANDLER   ,1
SCALISE    ,2
CAO        ,2
MELANCON   ,1
FLEMING    ,2
ALEXANDER  ,2
CASSIDY    ,2
BOUSTANY   ,2
PINGREE    ,1
MICHAUD    ,1
KRATOVIL   ,1
RUPPERSBE  ,1
SARBANES   ,1
EDWARDS    ,1
HOYER      ,1
BARTLETT   ,2
CUMMINGS   ,1
VAN HOLLE  ,1
OLVER      ,1
NEAL       ,1
MCGOVERN   ,1
FRANK      ,1
TSONGAS    ,1
TIERNEY    ,1
MARKEY     ,1
CAPUANO    ,1
LYNCH      ,1
DELAHUNT   ,1
STUPAK     ,1
HOEKSTRA   ,2
EHLERS     ,2
CAMP       ,2
KILDEE     ,1
UPTON      ,2
SCHAUER    ,1
ROGERS     ,2
PETERS     ,1
MILLER     ,2
MCCOTTER   ,2
LEVIN      ,1
KILPATRI   ,1
CONYERS    ,1
DINGELL    ,1
WALZ       ,1
KLINE      ,2
PAULSEN    ,2
MCCOLLUM   ,1
ELLISON    ,1
BACHMANN   ,2
PETERSON   ,1
OBERSTAR   ,1
CHILDERS   ,1
THOMPSON   ,1
HARPER     ,2
TAYLOR     ,1
CLAY       ,1
AKIN       ,2
CARNAHAN   ,1
SKELTON    ,1
CLEAVER    ,1
GRAVES     ,2
BLUNT      ,2
EMERSON    ,2
LUETKEMEYER,2
REHBERG    ,2
FORTENBE   ,2
TERRY      ,2
SMITH      ,2
BERKLEY    ,1
HELLER     ,2
TITUS      ,1
SHEA-PORTER,1
HODES      ,1
ANDREWS    ,1
LOBIONDO   ,2
ADLER      ,1
SMITH      ,2
GARRETT    ,2
PALLONE    ,1
LANCE      ,2
PASCRELL   ,1
ROTHMAN    ,1
PAYNE      ,1
FRELINGH   ,2
HOLT       ,1
SIRES      ,1
HEINRICH   ,1
TEAGUE     ,1
LUJAN      ,1
BISHOP     ,1
ISRAEL     ,1
KING       ,2
MCCARTHY   ,1
ACKERMAN   ,1
MEEKS      ,1
CROWLEY    ,1
NADLER     ,1
WEINER     ,1
TOWNS      ,1
CLARKE     ,1
VELAZQUE   ,1
MCMAHON    ,1
MALONEY    ,1
RANGEL     ,1
SERRANO    ,1
ENGEL      ,1
LOWEY      ,1
HALL       ,1
GILLIBRAND ,1
MURPHY     ,1
TONKO      ,1
HINCHEY    ,1
MCHUGH     ,2
OWENS      ,1
ARCURI     ,1
MAFFEI     ,1
LEE        ,2
HIGGINS    ,1
SLAUGHTE   ,1
MASSA      ,1
REED       ,2
BUTTERFI   ,1
ETHERIDG   ,1
JONES      ,2
PRICE      ,1
FOXX       ,2
COBLE      ,2
MCINTYRE   ,1
KISSELL    ,1
MYRICK     ,2
MCHENRY    ,2
SHULER     ,1
WATT       ,1
MILLER     ,1
POMEROY    ,1
DRIEHAUS   ,1
SCHMIDT    ,2
TURNER     ,2
JORDAN     ,2
LATTA      ,2
WILSON     ,1
AUSTRIA    ,2
BOEHNER    ,2
KAPTUR     ,1
KUCINICH   ,1
FUDGE      ,1
TIBERI     ,2
SUTTON     ,1
LATOURET   ,2
KILROY     ,1
BOCCIERI   ,1
RYAN       ,1
SPACE      ,1
SULLIVAN   ,2
BOREN      ,1
LUCAS      ,2
COLE       ,2
FALLIN     ,2
WU         ,1
WALDEN     ,2
BLUMENAU   ,1
DEFAZIO    ,1
SCHRADER   ,1
BRADY      ,1
FATTAH     ,1
DAHLKEMPER ,1
ALTMIRE    ,1
THOMPSON   ,2
GERLACH    ,2
SESTAK     ,1
MURPHY     ,1
SHUSTER    ,2
CARNEY     ,1
KANJORSK   ,1
MURTHA     ,1
CRITZ      ,1
SCHWARTZ   ,1
DOYLE      ,1
DENT       ,2
PITTS      ,2
HOLDEN     ,1
MURPHY     ,2
PLATTS     ,2
KENNEDY    ,1
LANGEVIN   ,1
BROWN      ,2
WILSON     ,2
BARRETT    ,2
INGLIS     ,2
SPRATT     ,1
CLYBURN    ,1
HERSETH SAN,1
ROE        ,2
DUNCAN     ,2
WAMP       ,2
DAVIS      ,1
COOPER     ,1
GORDON     ,1
BLACKBURN  ,2
TANNER     ,1
COHEN      ,1
GOHMERT    ,2
POE        ,2
JOHNSON    ,2
HALL       ,2
HENSARLIN  ,2
BARTON     ,2
CULBERSO   ,2
BRADY      ,2
GREEN      ,1
MCCAUL     ,2
CONAWAY    ,2
GRANGER    ,2
THORNBER   ,2
PAUL       ,2
HINOJOSA   ,1
REYES      ,1
EDWARDS    ,1
JACKSON-   ,1
NEUGEBAUE  ,2
GONZALEZ   ,1
SMITH      ,2
OLSON      ,2
RODRIGUEZ  ,1
MARCHANT   ,2
DOGGETT    ,1
BURGESS    ,2
ORTIZ      ,1
CUELLAR    ,1
GREEN      ,1
JOHNSON    ,1
CARTER     ,2
SESSIONS   ,2
BISHOP     ,2
MATHESON   ,1
CHAFFETZ   ,2
WELCH      ,1
WITTMAN    ,2
NYE        ,1
SCOTT      ,1
FORBES     ,2
PERRIELLO  ,1
GOODLATT   ,2
CANTOR     ,2
MORAN      ,1
BOUCHER    ,1
WOLF       ,2
CONNOLLY   ,1
INSLEE     ,1
LARSEN     ,1
BAIRD      ,1
HASTINGS   ,2
MCMORRIS RO,2
DICKS      ,1
MCDERMOT   ,1
REICHERT   ,2
SMITH      ,1
MOLLOHAN   ,1
CAPITO     ,2
RAHALL     ,1
RYAN       ,2
BALDWIN    ,1
KIND       ,1
MOORE      ,1
SENSENBR   ,2
PETRI      ,2
OBEY       ,1
KAGEN      ,1
LUMMIS     ,2
